rooms,square,floor,payment,address,city,price,date,image,link
1-комнатная квартира,42 м²,6/9 этаж,помесячно,"Бостандыкский р-н, мкр Орбита-4 15 — Альфараби Мустафина",Алматы,200 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/59/5981975b-354b-48af-82f7-1d13a8a3d3ed/1-280x175.jpg,https://krisha.kz//a/show/680047218
1-комнатная квартира,41 м²,7/9 этаж,помесячно,"Турксибский р-н, Сарыарка 1/1",Алматы,200 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/c2/c2088c25-fd2b-48e0-abc9-fb0628710a41/1-280x175.jpg,https://krisha.kz//a/show/683141256
1-комнатная квартира,40 м²,13/16 этаж,помесячно,"Наурызбайский р-н, Абишева 3",Алматы,250 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/50/502974ba-91da-4a0e-ac32-2f990486e6a2/1-280x175.jpg,https://krisha.kz//a/show/686834036
2-комнатная квартира,45 м²,3/4 этаж,помесячно,"Бостандыкский р-н, Ауэзова 181 — Тимирязева",Алматы,300 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/39/39aaaef2-b1e3-4439-824c-ad933e6db46a/1-280x175.jpg,https://krisha.kz//a/show/686416687
2-комнатная квартира,70 м²,1/12 этаж,помесячно,"Бостандыкский р-н, Ходжанова 57/5 — Есентай мол Аль Фараби депозит 100 подробнее по телефону",Алматы,550 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/fa/fa1e11e4-5ead-4037-b2da-423194792ce5/1-280x175.jpg,https://krisha.kz//a/show/686834020
3-комнатная квартира,73 м²,2/4 этаж,помесячно,"Бостандыкский р-н, проспект Абая 34 — проспект Сакена Сейфуллина",Алматы,400 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/9f/9f880d1c-55a6-462d-8318-c782fd833ceb/1-280x175.jpg,https://krisha.kz//a/show/680284937
3-комнатная квартира,70 м²,3/12 этаж,помесячно,"Алатауский р-н, мкр Акбулак, Дарабоз 27 — Алматы арена",Алматы,350 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/75/75eb1316-88a7-470c-bc82-ec821b12726a/1-280x175.jpg,https://krisha.kz//a/show/686799204
3-комнатная квартира,70 м²,2/5 этаж,помесячно,"Ауэзовский р-н, мкр Аксай-5 14",Алматы,250 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/c6/c6f8c180-0c21-49c6-a5e1-e0d79066390f/1-280x175.jpg,https://krisha.kz//a/show/686784216
3-комнатная квартира,60 м²,1/5 этаж,помесячно,"Алмалинский р-н, мкр Тастак-2 38 — Туркебаева-Дуйсенова",Алматы,300 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/bf/bf5d70f2-e17e-4da4-b885-b262b58c0cb7/1-280x175.jpg,https://krisha.kz//a/show/680378769
3-комнатная квартира,70 м²,7/9 этаж,помесячно,"Алмалинский р-н, Назарбаева 77",Алматы,450 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/d7/d7001ec8-ff6e-4bc8-8d41-001efaa4d810/1-280x175.jpg,https://krisha.kz//a/show/686238529
3-комнатная квартира,64 м²,4/4 этаж,помесячно,"Ауэзовский р-н, Жубанова — Алтынсарина",Алматы,280 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/aa/aa023cd3-25a8-497c-999e-c8deea219e0f/4-280x175.jpg,https://krisha.kz//a/show/684356138
3-комнатная квартира,110 м²,2/9 этаж,помесячно,"Бостандыкский р-н, Микрорайон Керемет — Наурызбай батыра",Алматы,500 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/39/39a0f4a5-1e36-41b3-9cf5-d51568c76ebb/17-280x175.jpg,https://krisha.kz//a/show/686235086
3-комнатная квартира,85 м²,4/17 этаж,помесячно,"Ауэзовский р-н, Жандосова — Берегового",Алматы,500 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/14/149304fa-3b0d-4f38-a05b-2027476f7686/1-280x175.jpg,https://krisha.kz//a/show/685983395
1-комнатная квартира,20 м²,5/5 этаж,помесячно,"Алмалинский р-н, Райымбека 206Б — Райымбека-Ауэзова",Алматы,140 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/54/541aca90-d2cb-4dc8-b595-524077784d1b/1-280x175.jpg,https://krisha.kz//a/show/686799192
4-комнатная квартира,200 м²,2/5 этаж,помесячно,"Медеуский р-н, мкр Юбилейный, Омаровой 33",Алматы,1 300 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/dc/dc829269-6f38-422b-b56d-cdfee1f3374b/33-280x175.jpg,https://krisha.kz//a/show/679140978
1-комнатная квартира,48 м²,7/9 этаж,помесячно,"Наурызбайский р-н, мкр Каргалы 54/10 — Кенесары Хан",Алматы,250 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/84/84bfa8a5-2b35-4314-9291-2cd0a232ac9c/1-280x175.jpg,https://krisha.kz//a/show/684133834
2-комнатная квартира,72 м²,8/12 этаж,помесячно,"Медеуский р-н, Барибаева 43/5 — Казыбек Би и Барибаева",Алматы,650 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/54/54f5f899-94aa-4d12-a962-31518d6f2ed5/1-280x175.jpg,https://krisha.kz//a/show/686408504
2-комнатная квартира,65 м²,3/16 этаж,помесячно,"Бостандыкский р-н, Аль-Фараби 53 — Шашкина",Алматы,450 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/1c/1cdf8de4-075e-4b3f-a65b-b89522433f94/1-280x175.jpg,https://krisha.kz//a/show/671702632
2-комнатная квартира,100 м²,1/3 этаж,помесячно,"Медеуский р-н, Аль- Фараби 116",Алматы,2 000 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/22/226cf39e-bcc8-45b2-9c95-e9a046805adc/1-280x175.jpg,https://krisha.kz//a/show/686380076
2-комнатная квартира,44 м²,3/5 этаж,помесячно,"Бостандыкский р-н, мкр Казахфильм",Алматы,250 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/ee/eea69373-01f3-403a-9edf-0a80ec3e02d5/1-280x175.jpg,https://krisha.kz//a/show/684897738
2-комнатная квартира,57 м²,12/14 этаж,помесячно,"Медеуский р-н, мкр Самал-1 — Достык",Алматы,450 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/2a/2addcf94-17a1-4655-84ba-40deb9ab87b1/1-280x175.jpg,https://krisha.kz//a/show/686770009
1-комнатная квартира,32 м²,4/5 этаж,помесячно,"Алмалинский р-н, Шакарима 13 — Шакарима - Тургут Озала",Алматы,180 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/98/98608652-82e7-4a15-9cb0-e94ee6616c11/6-280x175.jpg,https://krisha.kz//a/show/686821863
1-комнатная квартира,45 м²,6/16 этаж,помесячно,"Алмалинский р-н, Манаса 109а — Абая",Алматы,350 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/89/8907bdb1-21e6-417e-93a6-69c4f30069bf/1-280x175.jpg,https://krisha.kz//a/show/686713375
2-комнатная квартира,54 м²,8/10 этаж,помесячно,"Алмалинский р-н, мкр Тастак-2, Толеби Грановского 30",Алматы,310 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/80/8047c21d-bfd9-4a4b-b93b-aeac40604f09/1-280x175.jpg,https://krisha.kz//a/show/686760946
3-комнатная квартира,65 м²,7/10 этаж,помесячно,"Медеуский р-н, Тянь-Шанская 9",Алматы,500 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/94/94df2b82-3fed-4f2a-8481-2285f99af35e/1-280x175.jpg,https://krisha.kz//a/show/686445277
6-комнатная квартира,400 м²,7/8 этаж,помесячно,"Алмалинский р-н, Абдуллиных 56",Алматы,1 000 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/85/8556dcc2-e7f3-4064-ba18-24feb3b008bd/32-280x175.jpg,https://krisha.kz//a/show/673558031
3-комнатная квартира,115 м²,6/7 этаж,помесячно,"Алмалинский р-н, Гоголя/Назарбаева 77/85 — Находится на против метро Жибек жолы",Алматы,600 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/f5/f5ccf9c0-122e-46bd-894b-3ab0add473d6/1-280x175.jpg,https://krisha.kz//a/show/685951295
2-комнатная квартира,104 м²,9/16 этаж,помесячно,"Бостандыкский р-н, Гагарина",Алматы,650 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/64/64c804a7-3b26-4126-bad9-0d1246e19c02/1-280x175.jpg,https://krisha.kz//a/show/686425034
1-комнатная квартира,50 м²,2/3 этаж,помесячно,"Медеуский р-н, Барибаева 31",Алматы,350 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/25/25bc7edd-74ad-461a-a9df-941443fae967/6-280x175.jpg,https://krisha.kz//a/show/670603362
2-комнатная квартира,44.9 м²,2/5 этаж,помесячно,"Алмалинский р-н, Наурызбай Батыра 28 — Макатаева",Алматы,300 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/c0/c02aa422-e0ec-4d45-9c23-1e677d310281/21-280x175.jpg,https://krisha.kz//a/show/678075107
3-комнатная квартира,86 м²,6/9 этаж,помесячно,"Ауэзовский р-н, мкр Аксай-2",Алматы,400 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/2b/2b1cf10d-802f-48ee-91b2-4c701dec270f/1-280x175.jpg,https://krisha.kz//a/show/686001557
2-комнатная квартира,60 м²,12/12 этаж,помесячно,"Наурызбайский р-н, мкр Калкаман-3, Жк Еламан",Алматы,300 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/e0/e0cfe049-cf43-4966-a959-384b1c3eee58/1-280x175.jpg,https://krisha.kz//a/show/686152860
2-комнатная квартира,75 м²,1/9 этаж,помесячно,"Ауэзовский р-н, мкр Жетысу-3 69",Алматы,350 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/94/9470ec71-d356-4200-bf9d-3680c30d65e1/33-280x175.jpg,https://krisha.kz//a/show/683657566
2-комнатная квартира,42 м²,3/3 этаж,помесячно,"Бостандыкский р-н, Габдуллина — Ауэзова",Алматы,250 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/da/da8ed832-264f-45af-9189-e314209c4d8b/1-280x175.jpg,https://krisha.kz//a/show/686771169
2-комнатная квартира,60 м²,2/12 этаж,помесячно,"Бостандыкский р-н, Гагарина 287/1 — Левитана",Алматы,450 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/cf/cf25a938-8221-4ae2-a1ee-de150b43991e/11-280x175.jpg,https://krisha.kz//a/show/683109483
5-комнатная квартира,250 м²,6/9 этаж,помесячно,"Медеуский р-н, Кабанбай батыра 51",Алматы,1 500 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/77/77f84610-e227-43b3-a292-594c0f3ae9d7/1-280x175.jpg,https://krisha.kz//a/show/686763834
1-комнатная квартира,55 м²,3/5 этаж,помесячно,"Медеуский р-н, мкр Думан-2, Думан 2 30",Алматы,300 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/fe/febcb43d-cc04-4abf-b4a5-74db78fce1cc/5-280x175.jpg,https://krisha.kz//a/show/686232905
2-комнатная квартира,39.4 м²,11/12 этаж,помесячно,"Алмалинский р-н, Шевченко 85 — Уг. Сейфуллина",Алматы,400 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/1b/1bd9462b-aee4-4e22-bba4-79ada543338a/1-280x175.jpg,https://krisha.kz//a/show/686691782
1-комнатная квартира,70 м²,8/14 этаж,помесячно,"Бостандыкский р-н, Навои 72",Алматы,280 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/3c/3cfff5cd-d382-4a80-8226-5846ced98af5/1-280x175.jpg,https://krisha.kz//a/show/686681555
1-комнатная квартира,33.4 м²,4/5 этаж,помесячно,"Бостандыкский р-н, мкр Орбита-3 50",Алматы,200 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/a0/a05db6f9-483d-47fb-9331-9776d02d3364/2-280x175.jpg,https://krisha.kz//a/show/686713295
3-комнатная квартира,66 м²,1/9 этаж,помесячно,"Алмалинский р-н, Толе би 141 — Муканова",Алматы,300 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/48/48808ef3-534b-495f-a9bf-c047dc5b8455/8-280x175.jpg,https://krisha.kz//a/show/686686788
1-комнатная квартира,36 м²,3/5 этаж,помесячно,"Алмалинский р-н, Толе би 127 — Муратбаева",Алматы,250 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/1c/1ce0546a-9158-416a-a58f-d131d6f5d07c/1-280x175.jpg,https://krisha.kz//a/show/686686582
3-комнатная квартира,96 м²,2/9 этаж,помесячно,"Медеуский р-н, Луганского 1 — Сатпаева",Алматы,520 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/18/186cef21-f29b-45df-81dc-cd9ed87bbfef/1-280x175.jpg,https://krisha.kz//a/show/686677209
2-комнатная квартира,65 м²,9/12 этаж,помесячно,"Ауэзовский р-н, Жетысу-1 28а — Магнум на Абая",Алматы,350 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/e0/e0b7aa3a-7ff7-45b5-b7e7-f963c6ed71aa/11-280x175.jpg,https://krisha.kz//a/show/686588790
4-комнатная квартира,287 м²,12/13 этаж,помесячно,"Бостандыкский р-н, Манаса 24в",Алматы,2 000 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/f2/f25c0bf0-8558-456d-840f-f188b882394c/4-280x175.jpg,https://krisha.kz//a/show/686790479
1-комнатная квартира,35 м²,5/16 этаж,помесячно,"Наурызбайский р-н, мкр Шугыла, Алтын Орда 6/38 — Алатау и Алтын Орда",Алматы,180 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/e8/e80c3ef3-fbc6-4e88-af4a-4a72905fc840/1-280x175.jpg,https://krisha.kz//a/show/681521294
2-комнатная квартира,60 м²,12/12 этаж,помесячно,"Бостандыкский р-н, Розыбакиева 336 — Ескараева",Алматы,750 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/29/2928ac47-a349-4711-a45b-8f6dea0cabf6/1-280x175.jpg,https://krisha.kz//a/show/686820814
2-комнатная квартира,55 м²,9/9 этаж,помесячно,"Бостандыкский р-н, Абая 130 — Розыбакиева",Алматы,400 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/b4/b4f38f85-2811-4dd3-8ea3-21e03ce0c37c/13-280x175.jpg,https://krisha.kz//a/show/670978745
1-комнатная квартира,32 м²,5/9 этаж,помесячно,"Наурызбайский р-н, мкр Шугыла, Мкр. Шугыла 340/3",Алматы,210 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/0a/0a45e3cf-71c8-4b62-8fc0-347de83e57ea/1-280x175.jpg,https://krisha.kz//a/show/686810108
1-комнатная квартира,20 м²,5 этаж,помесячно,"Алмалинский р-н, Гоголя 111",Алматы,170 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/22/22aea18b-5ca5-423a-b8fe-128656d51581/1-280x175.jpg,https://krisha.kz//a/show/686727127
1-комнатная квартира,43 м²,7/7 этаж,помесячно,"Алмалинский р-н, Айтеке би — Чайковского",Алматы,350 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/ce/cee1dd61-5954-4ec5-bfc1-dd69d77007a0/3-280x175.jpg,https://krisha.kz//a/show/686615704
4-комнатная квартира,84 м²,5/5 этаж,помесячно,"Ауэзовский р-н, мкр Таугуль-2",Алматы,500 000〒,4 авг.,https://photos-kr.kcdn.kz/webp/0f/0faeb3d3-35a6-4d61-a855-8a7488306893/9-280x175.jpg,https://krisha.kz//a/show/680898520
